SRR1164698_1.fastq.gz	FN0164472.x3.06.01.M5_R1_4.fastq.gz
SRR1164699_1.fastq.gz	FN0164472.x3.06.01.M5_R1_5.fastq.gz
SRR1164700_1.fastq.gz	FN0164472.x3.06.01.M5_R1_6.fastq.gz
SRR1164701_1.fastq.gz	FN0164472.x3.06.01.M5_R1_7.fastq.gz
SRR1164702_1.fastq.gz	FN0164472.x3.06.01.M5_R1_8.fastq.gz
SRR1164695_2.fastq.gz	FN0164472.x3.06.01.M5_R2_1.fastq.gz
SRR1164696_2.fastq.gz	FN0164472.x3.06.01.M5_R2_2.fastq.gz
SRR1164697_2.fastq.gz	FN0164472.x3.06.01.M5_R2_3.fastq.gz
SRR1164698_2.fastq.gz	FN0164472.x3.06.01.M5_R2_4.fastq.gz
SRR1164699_2.fastq.gz	FN0164472.x3.06.01.M5_R2_5.fastq.gz
SRR1164700_2.fastq.gz	FN0164472.x3.06.01.M5_R2_6.fastq.gz
SRR1164701_2.fastq.gz	FN0164472.x3.06.01.M5_R2_7.fastq.gz
SRR1164702_2.fastq.gz	FN0164472.x3.06.01.M5_R2_8.fastq.gz
SRR1164719_1.fastq.gz	FN0170228.07.35.01.M5_R1_1.fastq.gz
SRR1164720_1.fastq.gz	FN0170228.07.35.01.M5_R1_2.fastq.gz
SRR1164721_1.fastq.gz	FN0170228.07.35.01.M5_R1_3.fastq.gz
SRR1164722_1.fastq.gz	FN0170228.07.35.01.M5_R1_4.fastq.gz
SRR1164723_1.fastq.gz	FN0170228.07.35.01.M5_R1_5.fastq.gz
SRR1164724_1.fastq.gz	FN0170228.07.35.01.M5_R1_6.fastq.gz
SRR1164725_1.fastq.gz	FN0170228.07.35.01.M5_R1_7.fastq.gz
SRR1164726_1.fastq.gz	FN0170228.07.35.01.M5_R1_8.fastq.gz
SRR1164719_2.fastq.gz	FN0170228.07.35.01.M5_R2_1.fastq.gz
SRR1164720_2.fastq.gz	FN0170228.07.35.01.M5_R2_2.fastq.gz
SRR1164721_2.fastq.gz	FN0170228.07.35.01.M5_R2_3.fastq.gz
SRR1164722_2.fastq.gz	FN0170228.07.35.01.M5_R2_4.fastq.gz
SRR1164723_2.fastq.gz	FN0170228.07.35.01.M5_R2_5.fastq.gz
SRR1164724_2.fastq.gz	FN0170228.07.35.01.M5_R2_6.fastq.gz
SRR1164725_2.fastq.gz	FN0170228.07.35.01.M5_R2_7.fastq.gz
SRR1164726_2.fastq.gz	FN0170228.07.35.01.M5_R2_8.fastq.gz
SRR1164711_1.fastq.gz	FN0170712.06.41.01.M5_R1_1.fastq.gz
SRR1164712_1.fastq.gz	FN0170712.06.41.01.M5_R1_2.fastq.gz
